imdbID,long imdb title,cast,genres,runtimes,country codes,language codes,year,director,rating,votes,companies,full-size cover url,plot
0167260,The Lord of the Rings: The Return of the King (2003),0032370 0040012 0000276 0040058 0045324 0000293 0000949 0089217 0101710 1480092,action adventure drama fantasy,201,nz us,en qya ang sjn,2003,0001392,9.0,1891865,0046718 0046203 0061706,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Gandalf Aragorn World Men Sauron army gaze Frodo Sam Mount Doom Ring
1345836,The Dark Knight Rises (2012),0000288 0000198 0362766 0330687 0004266 0182839 0000151 0000323 0000546 0009530,action drama thriller,164,us gb,en ar,2012,0634240,8.4,1746241,0002663 0159111 0123927 0147954 0038332,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@.jpg,years Joker reign chaos Batman exile assistance mysterious Selina Kyle order Gotham City vicious guerrilla terrorist Bane
0167261,The Lord of the Rings: The Two Towers (2002),0021600 0000276 0045324 1019674 0000949 0089217 0101710 0112400 1275186 0000374,action adventure drama fantasy,179,nz us,en sjn ang,2002,0001392,8.8,1707405,0046718 0046203 0061706,https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Frodo Sam Mordor help shifty Gollum divided fellowship stand Sauron new ally Saruman hordes Isengard
0114369,Se7en (1995),0000151 0001825 0669254 0000093 0000569 0144307 0532943 0188598 0146146 0000388,crime drama mystery thriller,127,us,en,1995,0000399,8.6,1702851,0078943 0043545 0046718,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,detectives rookie veteran serial killer motives
1853728,Django Unchained (2012),0004937 0910607 0000138 0913488 0000168 0324658 0160550 0001664 0824741 4158239,drama western,165,us,en de fr it,2012,0000233,8.4,1604434,0150452 0050868,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@.jpg,help German bounty-hunter freed sets wife brutal plantation owner Mississippi
0172495,Gladiator (2000),0000128 0001618 0001567 0001657 0001321 0001394 0005023 0774516 0795344 0032962,action adventure drama,155,us gb mt ma,en,2000,0000631,8.5,1539941,0819670 0005073 0074212 0105108 0335516 0335559,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,former Roman General vengeance corrupt emperor family slavery
0372784,Batman Begins (2005),0000288 0000323 0000553 0005017 0000198 0614165 0929489 0000442 0730070 0095478,action crime drama,140,us gb,en cmn,2005,0634240,8.2,1507188,0002663 0147954 0038332 0159111 0165460,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,parents death Bruce art injustice Gotham Batman secret society city
0361748,Inglourious Basterds (2009),0000093 0491259 0910607 0744834 1055413 1208167 0117709 0001709 0121972 1784515,adventure drama war,153,de us,en de fr it,2009,0000233,8.3,1496400,0005073 0150452 0019267 0053177 0282627,https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg,Nazi-occupied France World War II plan Nazi leaders group Jewish U.S. soldiers coincides theatre owner vengeful plans
0102926,The Silence of the Lambs (1991),0000149 0095029 0501435 0942145 0001277 0372217 0265670 0110667 0780557 0748785,crime drama thriller,118,us,en la,1991,0001129,8.6,1471395,0165563 0001995,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,young F.B.I cadet help incarcerated manipulative cannibal killer serial killer madman victims
0993846,The Wolf of Wall Street (2013),0000138 1706767 3053338 0000190 0151419 0001661 1256532 0269463 0241121 0525921,biography comedy crime drama,180,us,en fr,2013,0000217,8.2,1468725,0325207 0088354 0141038 0223721,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@.jpg,true story Jordan Belfort rise wealthy stock-broker high life fall crime corruption federal government
0120815,Saving Private Ryan (1998),0000158 0001744 0122653 0001608 0004965 0004874 0000610 0001111 0000354 0001101,drama war,169,us,en fr de cs,1998,0000229,8.6,1427106,0819670 0023400 0009119 0007500 0769935 0021243,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg,Normandy Landings group U.S. soldiers enemy lines paratrooper brothers action
0848228,The Avengers (2012),0000375 0262635 0749263 1165110 0424060 0719637 1089991 0163988 1130627 0001745,action sci-fi,143,us,en ru,2012,0923736,8.0,1418843,0051941 0023400,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,Earth mightiest heroes team mischievous Loki alien army humanity
0076759,Star Wars: Episode IV - A New Hope (1977),0000434 0000148 0000402 0001088 0000027 0000355 0048652 0562679 0001190 0114436,action adventure fantasy sci-fi,121,us,en,1977,0000184,8.6,1396858,0071326 0000756,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx.jpg,Luke Skywalker forces Jedi Knight cocky pilot Wookiee droids galaxy Empire world-destroying battle station Princess Leia mysterious Darth Vader
0108052,Schindler's List (1993),0000553 0001426 0000146 0328751 0755974 0001110 0311343 0506616 0411980 0534151,biography drama history,195,us,en he de pl la,1993,0000229,9.0,1388518,0005073 0009119,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,German-occupied Poland World War II industrialist Oskar Schindler Jewish workforce persecution Nazis
0482571,The Prestige (2006),0413168 0000288 0000323 0005305 0356017 0424060 2195817 0000309 0785227 0204425,drama mystery sci-fi thriller,130,gb us,en,2006,0634240,8.5,1368121,0049348 0225259 0129644 0147954,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2.jpg,tragic accident stage magicians London engage battle ultimate illusion everything
1130884,Shutter Island (2010),0000138 0749263 0001426 0001884 0931329 0607865 0165101 0355097 0505971 0002253,mystery thriller,138,us,en de,2010,0000217,8.2,1365705,0023400 0029574 0141038 0088354 0024020,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,Teddy Daniels Chuck Aule US marshals asylum remote island order disappearance patient Teddy shocking truth place
7286456,Joker (2019),0001618 0000134 5939164 0175814 0191442 0924154 0131966 0281909 5279916 0656929,crime drama thriller,122,us ca,en,2019,0680846,8.4,1361189,0002663 0227121 0108864 0309252 0373725 0038332 0465018,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,rise Arthur Fleck stand-up comedian pariah Gotham clown prince leader revolution
0407887,The Departed (2006),0000138 0000354 0000197 0000242 0000640 0935653 0267812 0026364 0000285 0180984,crime drama thriller,151,us hk,en yue,2006,0000217,8.5,1359854,0002663 0136967 0011877 0084207 0093755,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3.jpg,undercover cop mole police attempt Irish gang South Boston
0499549,Avatar (2009),0941777 0757855 0000244 0002332 0735442 0000610 0601376 0001634 0836071 0022306,action adventure fantasy sci-fi,162,us,en es,2009,0000116,7.9,1346076,0000756 0174373 0038663,https://m.media-amazon.com/images/M/MV5BZDA0OGQxNTItMDZkMC00N2UyLTg3MzMtYTJmNjg3Nzk5MzRiXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,paraplegic Marine moon Pandora unique mission torn orders world home
0120689,The Green Mile (1999),0000158 0001556 0001372 0003817 0000342 0005052 0001295 0006535 0005377 0001608,crime drama fantasy mystery,189,us,en fr,1999,0001104,8.6,1339151,0040620 0029398 0002663,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3.jpg,tale death row Southern jail gentle giant John mysterious power people ailments lead guard Paul John gift condemned man execution
0080684,Star Wars: Episode V - The Empire Strikes Back (1980),0000434 0000148 0000402 0001850 0000355 0001190 0562679 0048652 0000568 0000027,action adventure fantasy sci-fi,124,us,en,1980,0449984,8.7,1324570,0071326,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Rebels Empire Luke Skywalker Jedi training Yoda friends galaxy Darth Vader bounty hunter Boba Fett
0071562,The Godfather Part II (1974),0000199 0000380 0000473 0000134 0001030 0001735 0833448 0311155 0819525 0109175,crime drama,202,us,en it es la scn,1974,0000338,9.0,1304629,0023400 0099634 0020958,https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,early life career Vito Corleone New York City son Michael grip family crime syndicate
0209144,Memento (2000),0001602 0005251 0001592 0095478 0270383 0289080 0864997 0364748 0502073 0719678,mystery thriller,113,us,en,2000,0634240,8.4,1266441,0082027 0050544 0156819 0046206,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,man short-term memory loss attempts wife murderer
0088763,Back to the Future (1985),0000150 0000502 0000670 0000417 0001855 0920148 0566013 0818274 0225191 0564589,adventure comedy sci-fi,116,us,en,1985,0000709,8.5,1242803,0005073 0009119 0010110,https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Marty McFly 17-year-old high school student years past time-traveling DeLorean close friend maverick scientist Doc Brown
2015381,Guardians of the Galaxy (2014),0695435 0757855 1176985 0004874 0177896 1195855 0740264 2394794 0005023 0000604,action adventure comedy sci-fi,121,us,en,2014,0348181,8.0,1224008,0051941 0008970 0140084 0409205 0095134,https://m.media-amazon.com/images/M/MV5BNDIzMTk4NDYtMjg5OS00ZGI0LWJhZDYtMzdmZGY1YWU5ZGNkXkEyXkFqcGdeQXVyMTI5NzUyMTIz.jpg,group intergalactic criminals fanatical warrior plans universe
0120338,Titanic (1997),0000138 0000701 0000708 0000870 0004920 0001784 0000200 0384060 0001831 0001255,drama romance,194,us mx,en sv it fr,1997,0000116,7.9,1221804,0000756 0023400 0038663 0413068,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,seventeen-year-old aristocrat love kind poor artist luxurious ill-fated R.M.S Titanic
0099685,Goodfellas (1990),0000134 0000501 0000582 0000966 0000649 0803370 0201700 0823563 0898634 0522797,biography crime drama,145,us,en it,1990,0000217,8.7,1195346,0002663,https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,story Henry Hill life mafia relationship wife Karen mob partners Jimmy Conway Tommy DeVito
0110413,Léon: The Professional (1994),0000606 0000198 0000204 0000732 0032216 0089112 0187199 0321798 0779685 0045937,action crime drama thriller,110,fr us,en it fr,1994,0000108,8.5,1192475,0172053 0008826 0050868,https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,12-year-old Mathilda Léon professional assassin family unusual relationship forms protégée assassin trade
4154796,Avengers: Endgame (2019),0000375 0262635 0749263 1165110 0424060 0719637 0000332 0748620 1212722 1569276,action adventure drama sci-fi,181,us,en ja xh de,2019,0751577 0751648,8.4,1185971,0051941 0008970,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@.jpg,devastating events Avengers Infinity War universe ruins help allies Avengers assemble order Thanos actions balance universe
0169547,American Beauty (1999),0000228 0000906 0000301 0004747 0002546 0001251 0005049 0177933 0000836 0730168,drama,122,us,en,1999,0005222,8.3,1175390,0819670 0021095,https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,frustrated suburban father mid-life crisis daughter best friend
0325980,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0000136 0001691 0089217 0461136 0202603 0000596 0034305 0188871 1400933 1099016,action adventure fantasy,143,us,en,2003,0893659,8.1,1156633,0008970 0026281,https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,Blacksmith Turner eccentric pirate Captain Jack Sparrow love governor daughter Jack former pirate allies undead
0910970,WALL·E (2008),0123785 2264184 0307531 0929609 3050831 0001652 0001562 0000244 3127758 0465777,animation adventure family sci-fi,98,us jp,en,2008,0004056,8.4,1146505,0622634 0017902 0008970,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@.jpg,distant future small waste-collecting robot space journey fate mankind
0120586,American History X (1998),0001570 0000411 0000350 0000497 0839486 0000103 0000984 0001285 0005078 0750916,crime drama,119,us,en,1998,0443411,8.5,1145499,0046718 0074787 0023612,https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@.jpg,life violence neo-Nazi Derek prison black youths release Derek brother Danny Derek footsteps
0266697,Kill Bill: Vol. 1 (2003),0000235 0005154 0000407 0000435 0001016 0000514 0237838 0475752 0002002 0514904,action crime drama thriller,111,us,en ja fr,2003,0000233,8.2,1143314,0022594 0019267 0086625 0484967,https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,four-year coma former assassin wreaks vengeance team assassins
0434409,V for Vendetta (2005),0000204 0915989 0001653 0000410 0000457 0683116 0001291 0019885 0587060 0193661,action drama sci-fi thriller,132,us gb de,en fr la es,2005,0574625,8.2,1142740,0002663 0167271 0019968 0167243 0002663 0053177,https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@.jpg,future British dystopian society shadowy freedom fighter alias V plots tyrannical government help young woman
4154756,Avengers: Infinity War (2018),0000375 1165110 0749263 0262635 0424060 0000332 1212722 4043618 1569276 0757855,action adventure sci-fi,149,us,en,2018,0751577 0751648,8.4,1128953,0051941 0265297 0713020 0008970,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@.jpg,Avengers allies willing attempt powerful Thanos blitz devastation ruin end universe
0103064,Terminator 2: Judgment Day (1991),0000216 0000157 0000411 0001598 0091286 0608012 0580924 0346003 0177528 0001280,action sci-fi,137,us,en es,1991,0000116,8.6,1126116,0094459 0092551 0038663 0545615 0182657,https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,cyborg identical one Sarah Connor ten year old son John advanced powerful cyborg
0120382,The Truman Show (1998),0000120 0001473 0001187 0001523 0852466 0216507 1405242 0470244 0770039 0853105,comedy drama,103,us,en,1998,0001837,8.2,1120732,0023400 0093765,https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,insurance salesman whole life reality TV show
0114814,The Usual Suspects (1995),0000286 0000321 0001125 0001629 0000228 0001590 0000592 0000751 0002064 0000445,crime drama mystery thriller,106,us de,en hu es fr,1995,0001741,8.5,1106515,0106129 0033402 0082030 0057712 0082012,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,sole survivor pier shoot-out story notorious criminal events criminals meeting random police lineup
0110357,The Lion King (1994),0000100 0000111 0129295 0191906 0000155 0347039 0000460 0000469 0446702 0001447,animation adventure drama family musical,88,us,en sw xh zu,1994,0021249 0591450,8.5,1088685,0008970 0074039,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@.jpg,Lion prince Simba father bitter uncle throne
0371746,Iron Man (2008),0000375 0005024 0000313 0000569 0004753 0869467 0846687 0163988 0810488 0046223,action adventure sci-fi,126,us ca,en fa ur ar ku hi hu,2008,0269463,7.9,1085099,0023400 0095134 0051941 0008347 0216018 0229253,https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@.jpg,captive Afghan cave billionaire engineer Tony Stark unique weaponized suit armor evil
0086190,Star Wars: Episode VI - Return of the Jedi (1983),0000434 0000148 0000402 0001850 0000355 0562679 0789970 0001519 0000568 0000469,action adventure fantasy sci-fi,131,us,en ki tl xal qu pl,1983,0549658,8.3,1080149,0071326,https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,Han Solo Jabba Hutt Rebels attempt second Death Star Luke Darth Vader dark side
1049413,Up (2009),0000799 0001626 2973712 0677037 0005148 0710019 0001652 0443286 3423667 3422941,animation adventure comedy drama family,96,us jp,en,2009,0230032 0677037,8.3,1072850,0017902 0008970,https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@.jpg,78-year-old Carl Fredricksen Falls house balloons young stowaway
1431045,Deadpool (2016),0005351 4175221 4534098 0073088 1292973 6552202 4406623 1004124 6883785 5708387,action comedy,108,us,en,2016,1783265,8.0,1071116,0000756 0047120 0566686 0001946 0420822,https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,wisecracking mercenary becomes immortal man looks
0266543,Finding Nemo (2003),0000983 0001122 1071252 0000353 0004951 0005049 0671721 0740535 0507852 0710020,animation adventure comedy family,100,us jp,en,2003,0004056 0881279,8.2,1069263,0017902 0008970,https://m.media-amazon.com/images/M/MV5BZjMxYzBiNjUtZDliNC00MDAyLTg3N2QtOWNjNmNhZGQzNDg5XkEyXkFqcGdeQXVyNjE2MjQwNjc@.jpg,son Great Barrier Reef Sydney timid clownfish sets journey home
0112573,Braveheart (1995),0732703 0492566 0625729 0181920 0569336 0848100 0918571 0828941 0722661 0130860,biography drama history war,178,us,en fr la gd it,1995,0000154,8.3,1057575,0000700 0042559 0078539 0073417,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Scottish warrior William Wallace countrymen rebellion homeland tyranny King Edward England
0081505,The Shining (1980),0000197 0001167 0515950 0001079 0625167 0832104 0877185 0413271 0123748 0067672,drama horror,146,gb us,en,1980,0000040,8.4,1052113,0002663 0113563 0025454 0043341,https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,family isolated hotel winter sinister presence father violence psychic son sees horrific forebodings past future
0105236,Reservoir Dogs (1992),0000172 0000619 0000514 0001606 0000114 0862937 0112207 0051257 0120483 0000233,crime thriller,99,us,en,1992,0000233,8.3,1045358,0049954 0112857,https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,simple jewelry heist wrong criminals police informant
0338013,Eternal Sunshine of the Spotless Mind (2004),0000120 0000701 0004423 0000704 0752876 0749263 0011038 0189144 0000379 0929489,drama romance sci-fi,108,us,en,2004,0327273,8.3,1033534,0042399 0017525 0017713,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@.jpg,relationship sour couple medical procedure memories
1392190,Mad Max: Fury Road (2015),0362766 0000234 0396558 0117412 2890541 0428923 2368789 2492819 2142336 3880181,action adventure sci-fi thriller,120,au,en ru,2015,0004306,8.1,1032869,0227121 0066464,https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,post-apocalyptic wasteland woman tyrannical ruler search homeland aid group female prisoners psychotic worshiper drifter Max
